"","time","number_of_objects"
"578","07/12/2022 21:00",0
"579","07/12/2022 22:00",0
"580","07/12/2022 23:00",0
"581","07/13/2022 00:00",0
"582","07/13/2022 01:00",0
"583","07/13/2022 02:00",0
"584","07/13/2022 03:00",1
"585","07/13/2022 04:00",0
"586","07/13/2022 05:00",0
"587","07/13/2022 06:00",0
"588","07/13/2022 07:00",0
"589","07/13/2022 08:00",0
"590","07/13/2022 09:00",0
"591","07/13/2022 10:00",0
"592","07/13/2022 11:00",0
"593","07/13/2022 12:00",0
"594","07/13/2022 13:00",0
"595","07/13/2022 14:00",0
"596","07/13/2022 15:00",0
"597","07/13/2022 16:00",0
"598","07/13/2022 17:00",0
"599","07/13/2022 18:00",0
"600","07/13/2022 19:00",24
"601","07/13/2022 20:00",0
"602","07/13/2022 21:00",29
"603","07/13/2022 22:00",14
"604","07/13/2022 23:00",0
"605","07/14/2022 00:00",0
"606","07/14/2022 01:00",8
"607","07/14/2022 02:00",0
"608","07/14/2022 03:00",0
"609","07/14/2022 04:00",0
"610","07/14/2022 05:00",0
"611","07/14/2022 06:00",0
"612","07/14/2022 07:00",0
"613","07/14/2022 08:00",0
"614","07/14/2022 09:00",0
"615","07/14/2022 10:00",0
"616","07/14/2022 11:00",0
"617","07/14/2022 12:00",0
"618","07/14/2022 13:00",0
"619","07/14/2022 14:00",0
"620","07/14/2022 15:00",0
"621","07/14/2022 16:00",0
"622","07/14/2022 17:00",0
"623","07/14/2022 18:00",0
"624","07/14/2022 19:00",0
"625","07/14/2022 20:00",0
"626","07/14/2022 21:00",8
"627","07/14/2022 22:00",0
"628","07/14/2022 23:00",18
"629","07/15/2022 00:00",0
"630","07/15/2022 01:00",0
"631","07/15/2022 02:00",0
"632","07/15/2022 03:00",1
"633","07/15/2022 04:00",0
"634","07/15/2022 05:00",0
"635","07/15/2022 06:00",0
"636","07/15/2022 07:00",0
"637","07/15/2022 08:00",0
"638","07/15/2022 09:00",0
"639","07/15/2022 10:00",0
"640","07/15/2022 11:00",0
"641","07/15/2022 12:00",0
"642","07/15/2022 13:00",0
"643","07/15/2022 14:00",0
"644","07/15/2022 15:00",0
"645","07/15/2022 16:00",5
"646","07/15/2022 17:00",0
"647","07/15/2022 18:00",0
"648","07/15/2022 19:00",0
"649","07/15/2022 20:00",0
"650","07/15/2022 21:00",0
"651","07/15/2022 22:00",0
"652","07/15/2022 23:00",8
"653","07/16/2022 00:00",16
"654","07/16/2022 01:00",0
"655","07/16/2022 02:00",4
"656","07/16/2022 03:00",0
"657","07/16/2022 04:00",0
"658","07/16/2022 05:00",0
"659","07/16/2022 06:00",0
"660","07/16/2022 07:00",0
"661","07/16/2022 08:00",0
"662","07/16/2022 09:00",0
"663","07/16/2022 10:00",0
"664","07/16/2022 11:00",0
"665","07/16/2022 12:00",0
"666","07/16/2022 13:00",0
"667","07/16/2022 14:00",0
"668","07/16/2022 15:00",0
"669","07/16/2022 16:00",0
"670","07/16/2022 17:00",0
"671","07/16/2022 18:00",0
"672","07/16/2022 19:00",0
"673","07/16/2022 20:00",8
"674","07/16/2022 21:00",0
"675","07/16/2022 22:00",0
"676","07/16/2022 23:00",0
"677","07/17/2022 00:00",5
"678","07/17/2022 01:00",0
"679","07/17/2022 02:00",16
"680","07/17/2022 03:00",16
"681","07/17/2022 04:00",0
"682","07/17/2022 05:00",0
"683","07/17/2022 06:00",0
"684","07/17/2022 07:00",0
"685","07/17/2022 08:00",0
"686","07/17/2022 09:00",0
"687","07/17/2022 10:00",0
"688","07/17/2022 11:00",0
"689","07/17/2022 12:00",0
"690","07/17/2022 13:00",0
"691","07/17/2022 14:00",0
"692","07/17/2022 15:00",0
"693","07/17/2022 16:00",0
"694","07/17/2022 17:00",0
"695","07/17/2022 18:00",0
"696","07/17/2022 19:00",0
"697","07/17/2022 20:00",0
"698","07/17/2022 21:00",0
"699","07/17/2022 22:00",0
"700","07/17/2022 23:00",0
"701","07/18/2022 00:00",7
"702","07/18/2022 01:00",0
"703","07/18/2022 02:00",0
"704","07/18/2022 03:00",0
"705","07/18/2022 04:00",8
"706","07/18/2022 05:00",0
"707","07/18/2022 06:00",0
"708","07/18/2022 07:00",0
"709","07/18/2022 08:00",0
"710","07/18/2022 09:00",0
"711","07/18/2022 10:00",0
"712","07/18/2022 11:00",0
"713","07/18/2022 12:00",0
"714","07/18/2022 13:00",0
"715","07/18/2022 14:00",0
"716","07/18/2022 15:00",0
"717","07/18/2022 16:00",0
"718","07/18/2022 17:00",0
"719","07/18/2022 18:00",0
"720","07/18/2022 19:00",0
"721","07/18/2022 20:00",0
"722","07/18/2022 21:00",0
"723","07/18/2022 22:00",0
"724","07/18/2022 23:00",0
"725","07/19/2022 00:00",0
"726","07/19/2022 01:00",0
"727","07/19/2022 02:00",0
"728","07/19/2022 03:00",0
"729","07/19/2022 04:00",8
"730","07/19/2022 05:00",0
"731","07/19/2022 06:00",8
"732","07/19/2022 07:00",0
"733","07/19/2022 08:00",0
"734","07/19/2022 09:00",0
"735","07/19/2022 10:00",0
"736","07/19/2022 11:00",0
"737","07/19/2022 12:00",0
"738","07/19/2022 13:00",0
"739","07/19/2022 14:00",0
"740","07/19/2022 15:00",0
"741","07/19/2022 16:00",0
"742","07/19/2022 17:00",27
"743","07/19/2022 18:00",0
"744","07/19/2022 19:00",0
"745","07/19/2022 20:00",0
"746","07/19/2022 21:00",0
"747","07/19/2022 22:00",0
"748","07/19/2022 23:00",0
"749","07/20/2022 00:00",0
"750","07/20/2022 01:00",0
"751","07/20/2022 02:00",0
"752","07/20/2022 03:00",0
"753","07/20/2022 04:00",0
"754","07/20/2022 05:00",0
"755","07/20/2022 06:00",0
"756","07/20/2022 07:00",0
"757","07/20/2022 08:00",0
"758","07/20/2022 09:00",0
"759","07/20/2022 10:00",0
"760","07/20/2022 11:00",0
"761","07/20/2022 12:00",0
"762","07/20/2022 13:00",0
"763","07/20/2022 14:00",0
"764","07/20/2022 15:00",0
"765","07/20/2022 16:00",0
"766","07/20/2022 17:00",0
"767","07/20/2022 18:00",0
"768","07/20/2022 19:00",0
"769","07/20/2022 20:00",47
"770","07/20/2022 21:00",0
"771","07/20/2022 22:00",0
"772","07/20/2022 23:00",0
"773","07/21/2022 00:00",0
"774","07/21/2022 01:00",0
"775","07/21/2022 02:00",0
"776","07/21/2022 03:00",0
"777","07/21/2022 04:00",0
"778","07/21/2022 05:00",0
"779","07/21/2022 06:00",0
"780","07/21/2022 07:00",0
"781","07/21/2022 08:00",0
"782","07/21/2022 09:00",0
"783","07/21/2022 10:00",0
"784","07/21/2022 11:00",0
"785","07/21/2022 12:00",0
"786","07/21/2022 13:00",0
"787","07/21/2022 14:00",0
"788","07/21/2022 15:00",0
"789","07/21/2022 16:00",0
"790","07/21/2022 17:00",0
"791","07/21/2022 18:00",0
"792","07/21/2022 19:00",0
"793","07/21/2022 20:00",0
"794","07/21/2022 21:00",0
"795","07/21/2022 22:00",0
"796","07/21/2022 23:00",0
"797","07/22/2022 00:00",0
"798","07/22/2022 01:00",7
"799","07/22/2022 02:00",0
"800","07/22/2022 03:00",0
"801","07/22/2022 04:00",0
"802","07/22/2022 05:00",0
"803","07/22/2022 06:00",0
"804","07/22/2022 07:00",0
"805","07/22/2022 08:00",0
"806","07/22/2022 09:00",0
"807","07/22/2022 10:00",0
"808","07/22/2022 11:00",0
"809","07/22/2022 12:00",0
"810","07/22/2022 13:00",0
"811","07/22/2022 14:00",0
"812","07/22/2022 15:00",0
"813","07/22/2022 16:00",0
"814","07/22/2022 17:00",0
"815","07/22/2022 18:00",0
"816","07/22/2022 19:00",0
"817","07/22/2022 20:00",0
"818","07/22/2022 21:00",0
"819","07/22/2022 22:00",7
"820","07/22/2022 23:00",0
"821","07/23/2022 00:00",0
"822","07/23/2022 01:00",0
"823","07/23/2022 02:00",0
"824","07/23/2022 03:00",8
"825","07/23/2022 04:00",0
"826","07/23/2022 05:00",0
"827","07/23/2022 06:00",0
"828","07/23/2022 07:00",0
"829","07/23/2022 08:00",0
"830","07/23/2022 09:00",0
"831","07/23/2022 10:00",0
"832","07/23/2022 11:00",0
"833","07/23/2022 12:00",0
"834","07/23/2022 13:00",0
"835","07/23/2022 14:00",0
"836","07/23/2022 15:00",0
"837","07/23/2022 16:00",0
"838","07/23/2022 17:00",0
"839","07/23/2022 18:00",0
"840","07/23/2022 19:00",0
"841","07/23/2022 20:00",0
"842","07/23/2022 21:00",8
"843","07/23/2022 22:00",0
"844","07/23/2022 23:00",8
"845","07/24/2022 00:00",0
"846","07/24/2022 01:00",0
"847","07/24/2022 02:00",0
"848","07/24/2022 03:00",0
"849","07/24/2022 04:00",0
"850","07/24/2022 05:00",7
"851","07/24/2022 06:00",0
"852","07/24/2022 07:00",0
"853","07/24/2022 08:00",31
"854","07/24/2022 09:00",0
"855","07/24/2022 10:00",0
"856","07/24/2022 11:00",0
"857","07/24/2022 12:00",0
"858","07/24/2022 13:00",0
"859","07/24/2022 14:00",0
"860","07/24/2022 15:00",0
"861","07/24/2022 16:00",0
"862","07/24/2022 17:00",0
"863","07/24/2022 18:00",0
"864","07/24/2022 19:00",0
"865","07/24/2022 20:00",0
"866","07/24/2022 21:00",0
"867","07/24/2022 22:00",0
"868","07/24/2022 23:00",0
"869","07/25/2022 00:00",0
"870","07/25/2022 01:00",0
